fecha,clae3,w_median
2007-05-01,382,1624
2007-05-01,390,1020
2007-05-01,410,1187
2007-05-01,421,1875
2007-05-01,422,1516
2007-05-01,429,1522
2007-05-01,431,1576
2007-05-01,432,1248
2007-05-01,433,1006
2007-05-01,439,1390
2007-05-01,451,1683
2007-05-01,452,1415
2007-05-01,453,1247
2007-05-01,454,1200
2007-05-01,461,1308
2007-05-01,462,1215
2007-05-01,463,1232
2007-05-01,464,1322
2007-05-01,465,1490
2007-05-01,466,1292
2007-05-01,469,1333
2007-05-01,471,1304
2007-05-01,472,1057
2007-05-01,473,1477
2007-05-01,474,1185
2007-05-01,475,1231
2007-05-01,476,1193
2007-05-01,477,1215
2007-05-01,478,891
2007-05-01,479,1062
2007-05-01,491,3355
2007-05-01,492,2130
2007-05-01,493,4467
2007-05-01,501,3398
2007-05-01,502,3046
2007-05-01,511,3393
2007-05-01,512,2318
2007-05-01,521,953
2007-05-01,522,1671
2007-05-01,523,1653
2007-05-01,524,1922
2007-05-01,530,2345
2007-05-01,551,1461
2007-05-01,552,1140
2007-05-01,561,945
2007-05-01,562,1227
2007-05-01,581,1848
2007-05-01,591,1412
2007-05-01,592,1292
2007-05-01,601,1352
2007-05-01,602,2543
2007-05-01,611,2536
2007-05-01,612,2368
2007-05-01,613,1524
2007-05-01,614,1573
2007-05-01,619,2295
2007-05-01,620,2200
2007-05-01,631,1805
2007-05-01,639,3048
2007-05-01,641,3335
2007-05-01,642,2941
2007-05-01,643,1553
2007-05-01,649,1625
2007-05-01,651,2070
2007-05-01,652,2821
2007-05-01,653,1821
2007-05-01,661,1776
2007-05-01,662,1180
2007-05-01,663,1851
2007-05-01,681,1227
2007-05-01,682,1216
2007-05-01,691,1100
2007-05-01,692,1193
2007-05-01,702,1197
2007-05-01,711,1230
2007-05-01,712,1569
2007-05-01,721,2000
2007-05-01,722,1395
2007-05-01,731,1406
2007-05-01,732,1685
2007-05-01,741,1070
2007-05-01,742,1178
2007-05-01,749,1115
2007-05-01,750,824
2007-05-01,771,2019
2007-05-01,772,913
2007-05-01,773,1626
2007-05-01,774,2352
2007-05-01,780,1248
2007-05-01,791,1287
2007-05-01,801,1100
2007-05-01,811,1109
2007-05-01,812,920
2007-05-01,813,911
2007-05-01,821,1170
2007-05-01,822,1044
2007-05-01,823,855
2007-05-01,829,1284
2007-05-01,851,1097
2007-05-01,852,949
2007-05-01,853,626
2007-05-01,854,930
2007-05-01,855,906
2007-05-01,861,1648
2007-05-01,862,1129
2007-05-01,863,1494
2007-05-01,864,1466
2007-05-01,869,1500
2007-05-01,870,1277
2007-05-01,880,1149
2007-05-01,900,717
2007-05-01,910,1185
2007-05-01,920,1526
2007-05-01,931,1270
2007-05-01,939,731
2007-05-01,941,1516
2007-05-01,942,1776
2007-05-01,949,1437
2007-05-01,951,1243
2007-05-01,952,1179
2007-05-01,960,968
2007-05-01,999,1267
2007-06-01,11,1296
2007-06-01,12,1159
2007-06-01,13,1631
2007-06-01,14,1417
2007-06-01,16,943
2007-06-01,17,1436
2007-06-01,21,1361
2007-06-01,22,1080
2007-06-01,24,1108
2007-06-01,31,3865
2007-06-01,32,1245
2007-06-01,51,5026
2007-06-01,61,9052
2007-06-01,62,10000
2007-06-01,71,-99
2007-06-01,72,4566
2007-06-01,81,2430
2007-06-01,89,2448
2007-06-01,91,5880
2007-06-01,99,2266
2007-06-01,101,2425
2007-06-01,102,2799
2007-06-01,103,1856
2007-06-01,104,3476
2007-06-01,105,4247
2007-06-01,106,2863
2007-06-01,107,2077
2007-06-01,108,2226
2007-06-01,109,1880
2007-06-01,110,2851
2007-06-01,120,2719
2007-06-01,131,2332
2007-06-01,139,2020
2007-06-01,141,1762
2007-06-01,142,1788
2007-06-01,143,1896
2007-06-01,149,1371
2007-06-01,151,2558
2007-06-01,152,2007
2007-06-01,161,1583
2007-06-01,162,1863
2007-06-01,170,3010
2007-06-01,181,2443
2007-06-01,182,5184
2007-06-01,191,2594
2007-06-01,192,3993
2007-06-01,201,3803
2007-06-01,202,3121
